id,period,okato,subject,river_basin,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
94,2008-02-29,61000000000,Рязанская область,"малые реки, озера, водохранилища",Железо общее,4,1,49.0,49.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,4.9
95,2008-02-29,36000000000,Самарская область,р. Волга,Растворенный кислород,0,1,2.71,2.71,мг/л,,,,,,,,2.71
96,2008-02-29,36000000000,Самарская область,р. Волга,ХПК,0,1,19.0,19.0,ПДК,,,,,,,,
97,2008-02-29,36000000000,Самарская область,р. Волга,БПК5,0,1,34.0,34.0,ПДК,,,,,,,,
98,2008-02-29,64000000000,Сахалинская область,"малые реки, озера, водохранилища",Нитрит-ионы,4э,1,15.0,15.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.3
99,2008-02-29,64000000000,Сахалинская область,"малые реки, озера, водохранилища",Аммоний-ион,4,1,28.0,28.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,42.0
100,2008-02-29,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,2,14.0,43.0,ПДК,,,,,,,,
101,2008-02-29,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,9,10.0,41.0,ПДК,,,,,,,,
102,2008-02-29,65000000000,Свердловская область,р. Обь,Растворенный кислород,0,3,2.56,2.97,мг/л,,,,,,,,2.97
103,2008-02-29,65000000000,Свердловская область,р. Обь,Никель,3,1,12.0,12.0,ПДК,Никель,3,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.12
104,2008-02-29,65000000000,Свердловская область,р. Обь,Медь,3,1,30.0,30.0,ПДК,Медь,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,30.0
105,2008-02-29,65000000000,Свердловская область,р. Обь,Нитрит-ионы,4э,2,15.0,22.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.44
106,2008-02-29,65000000000,Свердловская область,р. Обь,Марганец,4,4,31.0,50.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.5
107,2008-02-29,65000000000,Свердловская область,р. Обь,Аммоний-ион,4,4,13.0,27.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,40.5
108,2008-02-29,66000000000,Смоленская область,р. Днепр,БПК5,0,1,6.0,6.0,ПДК,,,,,,,,
109,2008-02-29,66000000000,Смоленская область,р. Днепр,Аммоний-ион,4,1,11.5,11.5,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,17.25
110,2008-02-29,66000000000,Смоленская область,р. Днепр,Растворенный кислород,0,1,2.7,2.7,мг/л,,,,,,,,2.7
111,2008-02-29,7000000000,Ставропольский край,р. Терек,Марганец,4,1,30.0,30.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.3
112,2008-02-29,70000000000,Тульская область,р. Волга,Нитрит-ионы,4э,2,12.0,13.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.26
113,2008-02-29,70000000000,Тульская область,р. Волга,Аммоний-ион,4,1,11.0,11.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,16.5
114,2008-02-29,70000000000,Тульская область,р. Дон,Нитрит-ионы,4э,1,12.0,12.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.24
115,2008-02-29,70000000000,Тульская область,р. Дон,Аммоний-ион,4,1,11.0,11.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,16.5
116,2008-02-29,71000000000,Тюменская область,р. Обь,Марганец,4,5,34.0,42.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.42
117,2008-02-29,71000000000,Тюменская область,р. Обь,Железо общее,4,1,49.0,49.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,4.9
118,2008-02-29,71000000000,Тюменская область,р. Обь,Растворенный кислород,0,4,2.2,2.92,мг/л,,,,,,,,2.92
119,2008-02-29,75000000000,Челябинская область,р. Обь,Нефть и нефтепродукты,3,1,43.0,43.0,ПДК,Нефть и нефтепродукты,3,0.05,1999-04-28,2010-01-17,Госкомрыболовство-99,true,2.15
120,2008-02-29,75000000000,Челябинская область,р. Обь,Нитрит-ионы,4э,1,11.0,11.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.22
121,2008-02-29,75000000000,Челябинская область,р. Обь,Марганец,4,1,49.0,49.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.49
122,2008-03-31,1000000000,Алтайский край,р. Обь,Нитрит-ионы,4э,1,11.0,11.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.22
123,2008-03-31,1000000000,Алтайский край,"малые реки, озера, водохранилища",Аммоний-ион,4,2,11.0,11.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,16.5
124,2008-03-31,10000000000,Амурская область,р. Амур,Марганец,4,2,48.0,48.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.48
125,2008-03-31,11000000000,Архангельская область,р. Печора,Растворенный кислород,0,1,2.3,2.3,мг/л,,,,,,,,2.3
126,2008-03-31,14000000000,Белгородская область,р. Дон,Нитрит-ионы,4э,8,23.0,23.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.46
127,2008-03-31,19000000000,Вологодская область,р. Волга,Нитрит-ионы,4э,1,49.0,49.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.98
128,2008-03-31,19000000000,Вологодская область,р. Волга,Цинк,3,1,19.0,19.0,ПДК,Цинк,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,19.0
129,2008-03-31,19000000000,Вологодская область,р. Северная Двина,Лигносульфонаты,4,1,26.0,26.0,ПДК,Лигносульфонаты,4,2.0,2016-12-13,2099-12-31,Минсельхоз-2016,false,52.0
130,2008-03-31,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,20.0,20.0,ПДК,,,,,,,,
131,2008-03-31,76000000000,Забайкальский край,р. Амур,Аммоний-ион,4,2,11.0,11.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,16.5
132,2008-03-31,76000000000,Забайкальский край,р. Амур,БПК5,0,1,5.0,5.0,ПДК,,,,,,,,
133,2008-03-31,76000000000,Забайкальский край,р. Амур,Нитрит-ионы,4э,2,15.0,15.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.3
134,2008-03-31,30000000000,Камчатский край,"малые реки, озера, водохранилища",Нефть и нефтепродукты,3,1,33.0,33.0,ПДК,Нефть и нефтепродукты,3,0.05,1999-04-28,2010-01-17,Госкомрыболовство-99,true,1.6500000000000001
135,2008-03-31,33000000000,Кировская область,р. Волга,Нитрит-ионы,4э,4,20.0,20.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.4
136,2008-03-31,37000000000,Курганская область,р. Обь,Марганец,4,1,33.0,33.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.33
137,2008-03-31,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,2,19.0,19.0,ПДК,,,,,,,,
138,2008-03-31,41000000000,Ленинградская область,"малые реки, озера, водохранилища",ХПК,0,1,13.0,13.0,ПДК,,,,,,,,
139,2008-03-31,46000000000,Московская область,р. Волга,Нитрит-ионы,4э,3,12.0,12.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.24
140,2008-03-31,46000000000,Московская область,р. Волга,БПК5,0,2,7.0,7.0,ПДК,,,,,,,,
141,2008-03-31,46000000000,Московская область,р. Волга,Аммоний-ион,4,11,22.0,22.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,33.0
142,2008-03-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Водородный показатель (pH),0,1,9.7,9.7,pH,,,,,,,,
143,2008-03-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Медь,3,1,32.0,32.0,ПДК,Медь,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,32.0
144,2008-03-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Нитрит-ионы,4э,1,15.0,15.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.3
145,2008-03-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",Никель,3,2,15.0,15.0,ПДК,Никель,3,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.15
146,2008-03-31,22000000000,Нижегородская область,р. Волга,Нитрит-ионы,4э,1,16.0,16.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.32
147,2008-03-31,50000000000,Новосибирская область,р. Обь,БПК5,0,1,6.0,6.0,ПДК,,,,,,,,
148,2008-03-31,50000000000,Новосибирская область,р. Обь,Нефть и нефтепродукты,3,1,38.0,38.0,ПДК,Нефть и нефтепродукты,3,0.05,1999-04-28,2010-01-17,Госкомрыболовство-99,true,1.9000000000000001
149,2008-03-31,50000000000,Новосибирская область,р. Обь,Нитрит-ионы,4э,1,22.0,22.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.44
150,2008-03-31,52000000000,Омская область,р. Обь,Марганец,4,1,45.0,45.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.45
151,2008-03-31,53000000000,Оренбургская область,р. Урал,Цинк,3,1,14.0,14.0,ПДК,Цинк,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,14.0
