water_body,total_cases,avg_concentration,avg_exceed_ratio,records
р. Северная Вильва,128,236.42578125,14448.1640625,128
р. Тула,62,77.04838709677419,7663.934426229508,62
р. Правая Хетта,42,78.46523809523809,6193.75,42
ручей без названия,73,24.87232876712329,933.2500000000001,73
р. Травяная,14,190.35714285714286,179300.0,14
р. Нейва,94,76.56170212765957,7893.023255813953,94
р. Красносельская,4,67.25,3625.0,4
р. Большая Вязовка,2,333.0,33300.0,2
р. Волга,28,36.535714285714285,5000.0,28
р. Ельцовка 2,17,60.88235294117647,5933.333333333333,17
р. Сосновка,16,80.4375,65.1111111111111,16
р. Силинка,72,67.11111111111111,29260.0,72
р. Нимелен,20,91.0,31744.0,20
р. Вагран,1,68.0,0.0,1
р. Ижма,1,82.0,0.0,1
руч. Гагаринский (приток р. Новая Преголя),4,32.575,42.33333333333333,4
р. Ока,29,69.24137931034483,0.0,29
р. Волковка,1,0.58,0.0,1
р. Хейги-Яха,4,78.0,7800.0,4
р. Раздольная,7,108.0,2700.0,7
р. Терек,4,0.58,0.0,4
р. Березовая,37,26.980513513513515,7267.333333333332,37
р. Ухта,6,66.0,85000.0,6
вдхр. Зейское,1,8.0,8000.0,1
вдхр. Курганское,38,92.8157894736842,9386.486486486487,38
р. Лопатинка,1,64.0,640.0,1
р. Тазовская Губа,1,154.0,15400.0,1
р. Дубна,20,0.5085,0.0,20
оз. Имандра,33,12.809090909090909,10954.545454545454,33
р. Мундыр,4,72.0,31275.0,4
р. Паужетка,27,79.14814814814815,742.3076923076923,27
р. Крома,1,0.18,0.0,1
р. Нива,1,5.8,0.0,1
р. Арсеньевка,1,0.5,0.0,1
р. Решетка,1,64.0,6400.0,1
р. Подхоренок,13,47.38461538461539,29761.53846153846,13
оз. Пясино,1,100.0,0.0,1
р. Иртыш,31,62.41935483870967,7100.0,31
р. Тенке,5,146.2,80500.0,5
р. Кизел,147,1704.6190476190477,81000.68027210885,147
р. Увелка,10,16.83259,1608.7836000000002,10
р. Ельцовка 1,43,64.97325581395349,6497.325581395349,43
р. Илеть,1,53.0,0.0,1
р. Оротукан,22,133.22727272727272,6706.666666666666,22
р. Ница,35,77.72857142857143,5000.0,35
р. Демьянка,17,95.76470588235294,9437.5,17
р. Аткара,1,52.0,520.0,1
"р. Аргунь, протока Прорва",2,155.5,15550.0,2
р. Кая,2,57.5,0.0,2
р. Теча,52,108.85230769230769,13111.42857142857,52
р. Сереж,1,58.0,58000.0,1
руч. Каменец,2,99.5,105.33333333333333,2
оз. Среднее Куйто,1,200.0,0.0,1
пруд Большой,3,249.66666666666666,156666.66666666666,3
р. Зай,1,40.0,0.0,1
р. Охта,23,39.04521739130435,5900.0,23
р. Карасук,7,94.28571428571429,17014.285714285714,7
р. Аремзянка,14,67.85714285714286,6785.714285714285,14
