indicator,year,month,avg_concentration
Лигносульфонаты,2013,8,66.0
Лигносульфонаты,2016,5,68.5
Лигносульфонаты,2016,6,56.0
Лигносульфонаты,2016,7,65.5
Лигносульфонаты,2016,8,99.0
Лигносульфонаты,2016,10,68.0
Марганец,2008,1,141.5
Марганец,2008,2,102.91304347826087
Марганец,2008,3,116.72
Марганец,2008,4,76.13333333333334
Марганец,2008,5,77.71428571428571
Марганец,2008,6,102.66666666666667
Марганец,2008,7,201.5
Марганец,2008,8,104.5
Марганец,2008,9,66.2
Марганец,2008,10,82.0
Марганец,2008,11,105.6
Марганец,2008,12,126.33333333333333
Марганец,2009,1,96.56
Марганец,2009,2,174.5
Марганец,2009,3,117.04545454545455
Марганец,2009,4,82.39285714285714
Марганец,2009,5,85.14285714285714
Марганец,2009,6,173.33333333333334
Марганец,2009,7,170.5
Марганец,2009,8,166.4
Марганец,2009,9,144.5
Марганец,2009,10,99.45
Марганец,2009,11,81.5
Марганец,2009,12,88.75
Марганец,2010,1,77.625
Марганец,2010,2,108.06896551724138
Марганец,2010,3,120.8
Марганец,2010,4,99.63636363636364
Марганец,2010,5,69.375
Марганец,2010,6,126.6
Марганец,2010,7,164.30833333333334
Марганец,2010,8,290.5
Марганец,2010,9,85.0
Марганец,2010,10,183.25
Марганец,2010,11,530.6
Марганец,2010,12,140.5
Марганец,2011,1,67.85714285714286
Марганец,2011,2,96.24
Марганец,2011,3,101.94594594594595
Марганец,2011,4,104.0952380952381
Марганец,2011,5,62.5
Марганец,2011,6,61.0
Марганец,2011,7,160.25
Марганец,2011,8,437.5
Марганец,2011,9,204.625
Марганец,2011,10,140.83333333333334
Марганец,2011,11,157.66666666666666
Марганец,2011,12,143.26666666666668
Марганец,2012,1,117.71428571428571
Марганец,2012,2,141.0
Марганец,2012,3,112.63265306122449
Марганец,2012,4,160.88235294117646
Марганец,2012,5,355.5
Марганец,2012,6,625.6363636363636
Марганец,2012,7,232.44444444444446
Марганец,2012,8,9602.666666666666
Марганец,2012,9,276.4
Марганец,2012,10,137.0
Марганец,2012,11,234.0
Марганец,2012,12,187.72727272727272
Марганец,2013,1,115.15384615384616
Марганец,2013,2,132.0
Марганец,2013,3,94.89285714285714
Марганец,2013,4,136.28571428571428
Марганец,2013,5,285.44444444444446
Марганец,2013,6,174.66666666666666
Марганец,2013,7,296.6
Марганец,2013,8,206.42857142857142
Марганец,2013,9,181.0
Марганец,2013,10,106.16666666666667
Марганец,2013,11,369.6
Марганец,2013,12,165.85714285714286
Марганец,2014,1,247.66666666666666
Марганец,2014,2,168.45833333333334
Марганец,2014,3,138.1818181818182
Марганец,2014,4,121.48717948717949
Марганец,2014,5,387.0
Марганец,2014,6,269.6
Марганец,2014,7,137.2
Марганец,2014,8,144.375
Марганец,2014,9,114.33333333333333
Марганец,2014,10,102.75
Марганец,2014,11,120.78947368421052
Марганец,2014,12,117.70588235294117
Марганец,2015,1,90.31818181818181
Марганец,2015,2,92.73076923076923
Марганец,2015,3,93.0
Марганец,2015,4,78.91836734693878
Марганец,2015,5,79.22222222222223
Марганец,2015,6,86.0
Марганец,2015,7,100.375
Марганец,2015,8,93.16666666666667
Марганец,2015,9,144.15384615384616
Марганец,2015,10,118.53846153846153
Марганец,2015,11,106.875
Марганец,2015,12,86.75
Марганец,2016,1,102.5
Марганец,2016,2,81.90625
